Location,Sex,PYLL_mean,PYLL_fluctuation,PYLL_STD_MEAN,PYLL_STD_FLUC
Silistra,Total,23652.8,12742.1,21897.1,11796.275
Montana,Total,26888.600000000002,11940.7,21172.0,9402.052
Razgrad,Total,22703.8,11162.4,20492.8,10075.369
Pernik,Total,23463.8,11650.5,19686.1,9774.729
Vidin,Total,16040.5,7129.5,19364.5,8606.869
Kyustendil,Total,21632.6,11410.6,18502.8,9759.739000000001
Vratsa,Total,29150.3,13983.9,18279.5,8768.984999999999
Ruse,Total,38974.0,16601.7,18087.3,7704.627
Sofia,Total,40452.7,17211.5,17846.399999999998,7593.164
Pleven,Total,41056.1,18379.4,17374.2,7777.83
Veliko Tarnovo,Total,38806.2,16586.3,16686.0,7131.806
Haskovo,Total,37467.5,15926.300000000001,16628.8,7068.397
Shumen,Total,27689.9,13844.199999999999,16074.2,8036.710999999999
Stara Zagora,Total,49874.399999999994,20679.2,15914.199999999999,6598.426
Targovishte,Total,17599.4,7387.8,15867.6,6660.836
Pazardzhik,Total,39670.6,14633.800000000001,15693.900000000001,5789.236
Dobrich,Total,26955.399999999998,13668.0,15689.3,7955.345
Plovdiv,Total,104227.4,36027.799999999996,15631.0,5403.082
Blagoevgrad,Total,45808.7,18078.800000000003,15133.8,5972.632
Yambol,Total,17695.1,8624.5,15080.8,7350.322
Gabrovo,Total,15979.2,9582.0,14990.2,8988.912
Varna,Total,69702.1,25504.4,14833.8,5427.795
Kardzhali,Total,21136.7,10155.4,13360.300000000001,6419.179
Lovech,Total,16277.800000000001,11171.0,13283.0,9115.760999999999
Burgas,Total,53572.4,23782.7,13089.900000000001,5811.077
Sofia (stolitsa),Total,173271.4,41802.6,13039.800000000001,3145.9150000000004
Smolyan,Total,12086.699999999999,6433.0,11674.400000000001,6213.539
Sliven,Total,19063.6,9419.5,10353.9,5115.986
Montana,Male,14626.099999999999,6919.1,23544.5,11138.101999999999
Pernik,Male,12600.6,7478.8,21750.6,12909.618
Vidin,Male,8308.4,4455.3,20581.100000000002,11036.438
Pleven,Male,21759.4,12174.4,18965.800000000003,10611.441
Pazardzhik,Male,22833.600000000002,11477.5,18456.7,9277.371
Vratsa,Male,14010.0,9011.300000000001,17907.8,11518.393999999998
Razgrad,Male,9184.1,6320.200000000001,17003.8,11701.474
Blagoevgrad,Male,24407.5,12283.800000000001,16577.7,8343.216
Sofia,Male,18442.100000000002,10128.199999999999,16577.3,9104.081999999999
Veliko Tarnovo,Male,18068.6,8695.6,16075.2,7736.23
Targovishte,Male,8627.9,3778.4,15929.1,6975.852
Dobrich,Male,13036.9,7225.2,15635.9,8665.595
Yambol,Male,8850.0,4721.0,15416.1,8223.592
Ruse,Male,15707.9,8206.3,14956.1,7813.589
Sofia (stolitsa),Male,95126.9,27303.699999999997,14922.7,4283.169
Plovdiv,Male,46987.5,18663.8,14677.400000000001,5829.959000000001
Stara Zagora,Male,22222.6,12779.5,14657.6,8429.137999999999
Haskovo,Male,16010.8,8294.4,14559.2,7542.352
Varna,Male,31445.0,14729.2,13748.8,6440.063
Silistra,Male,7096.9,4791.4,13456.9,9085.289
Burgas,Male,20292.5,10147.2,10259.6,5130.289
Shumen,Male,8479.6,4799.6,10104.2,5719.12
Kyustendil,Male,5687.0,2798.7000000000003,9990.9,4916.728
Kardzhali,Male,7308.5,3862.3,9357.6,4945.2
Gabrovo,Male,4704.0,3514.8,9170.0,6851.73
Lovech,Male,5327.8,3009.0,8930.6,5043.75
Smolyan,Male,4088.5,2865.9,8188.5,5739.836
Sliven,Male,6829.799999999999,4279.0,7637.6,4785.1759999999995
Silistra,Female,13028.1,7638.3,23567.399999999998,13817.475
Kyustendil,Female,13077.0,7133.6,21797.6,11890.72
Razgrad,Female,12232.6,6559.6,21544.9,11553.27
Ruse,Female,23016.7,11033.5,20838.8,9989.497000000001
Vratsa,Female,15075.1,8430.300000000001,18557.1,10377.541000000001
Haskovo,Female,20372.8,11096.6,17662.3,9620.271999999999
Vidin,Female,7420.099999999999,4054.2,17472.899999999998,9546.931
Sofia,Female,19161.899999999998,9260.5,16601.5,8023.167
Shumen,Female,14162.6,6791.8,16032.0,7688.25
Stara Zagora,Female,25705.2,12844.1,15888.4,7938.993
Gabrovo,Female,8705.8,4817.8,15742.8,8712.116
Kardzhali,Female,12023.099999999999,7065.3,15009.8,8820.378999999999
Smolyan,Female,8006.599999999999,4291.8,14937.2,8006.790000000001
Veliko Tarnovo,Female,17624.6,9723.0,14666.8,8091.241
Plovdiv,Female,50731.6,19294.199999999997,14634.3,5565.662
Dobrich,Female,12636.2,6959.5,14289.4,7869.977
Varna,Female,34330.5,14895.1,14234.800000000001,6176.107
Pleven,Female,17187.699999999997,9928.7,14137.4,8166.661
Pazardzhik,Female,18131.6,9089.699999999999,14048.9,7042.9490000000005
Pernik,Female,7936.0,5037.2,12955.0,8222.926
Blagoevgrad,Female,19998.3,10532.0,12863.7,6774.602
Montana,Female,8008.2,4449.8,12343.0,6858.508
Burgas,Female,25646.3,13219.8,12127.3,6251.235
Yambol,Female,7127.0,4679.4,11892.8,7808.5
Targovishte,Female,6466.8,3545.0,11395.2,6246.696
Sliven,Female,10400.0,6158.0,10982.4,6502.846
Sofia (stolitsa),Female,72291.4,25060.4,10456.9,3624.9809999999998
Lovech,Female,5756.2,3986.3,9153.2,6338.7300000000005
