Location,Sex,ASYR,ASYR_FLUC
Razgrad,Total,1482.991,1194.127
Kyustendil,Total,1295.469,1009.145
Haskovo,Total,1150.801,765.993
Stara Zagora,Total,1047.151,609.617
Burgas,Total,1019.687,619.223
Pleven,Total,913.8389999999999,676.866
Varna,Total,882.177,594.684
Blagoevgrad,Total,833.076,577.1220000000001
Yambol,Total,832.509,665.896
Silistra,Total,805.701,698.544
Veliko Tarnovo,Total,778.885,558.27
Plovdiv,Total,774.325,464.983
Sliven,Total,690.044,405.751
Smolyan,Total,661.543,330.815
Vidin,Total,613.204,516.394
Ruse,Total,542.021,344.646
Dobrich,Total,527.524,281.894
Sofia,Total,503.38399999999996,337.39700000000005
Vratsa,Total,486.049,249.416
Pernik,Total,466.006,378.341
Lovech,Total,453.415,386.49800000000005
Montana,Total,424.815,354.622
Kardzhali,Total,390.425,334.914
Shumen,Total,371.278,300.6
Pazardzhik,Total,299.30899999999997,284.028
Sofia (stolitsa),Total,283.374,177.022
Pleven,Male,1350.4669999999999,947.265
Stara Zagora,Male,1342.271,1091.751
Razgrad,Male,1316.9540000000002,1164.3
Dobrich,Male,1243.037,970.1859999999999
Haskovo,Male,1205.522,846.692
Yambol,Male,1042.1779999999999,851.653
Varna,Male,1038.431,631.626
Plovdiv,Male,1010.5530000000001,735.4459999999999
Blagoevgrad,Male,1003.44,843.3199999999999
Vidin,Male,896.095,743.751
Kyustendil,Male,867.757,486.88
Sliven,Male,739.283,501.97499999999997
Silistra,Male,678.5409999999999,527.236
Burgas,Male,653.289,426.557
Sofia,Male,574.154,307.226
Vratsa,Male,565.192,512.356
Sofia (stolitsa),Male,515.172,330.653
Kardzhali,Male,504.984,422.837
Smolyan,Male,473.004,461.956
Montana,Male,461.428,334.416
Pazardzhik,Male,457.937,410.327
Ruse,Male,404.481,282.607
Targovishte,Male,243.745,208.635
Veliko Tarnovo,Male,198.392,149.854
Ruse,Female,1374.873,1184.399
Smolyan,Female,1224.261,827.442
Lovech,Female,1191.549,839.79
Burgas,Female,1145.98,829.916
Vratsa,Female,1140.151,919.885
Pleven,Female,1101.662,899.3320000000001
Veliko Tarnovo,Female,1055.464,731.5319999999999
Haskovo,Female,948.194,841.898
Blagoevgrad,Female,818.862,629.917
Vidin,Female,802.8199999999999,690.762
Stara Zagora,Female,797.827,595.01
Varna,Female,782.6949999999999,507.70500000000004
Pazardzhik,Female,686.79,661.3499999999999
Sofia,Female,669.555,641.762
Razgrad,Female,564.893,484.468
Kardzhali,Female,535.332,510.991
Silistra,Female,504.207,455.379
Plovdiv,Female,475.7,393.828
Dobrich,Female,436.736,387.14
Sliven,Female,407.15,343.8
Sofia (stolitsa),Female,220.692,178.233
