Sex,Age,age_sex_stratified_population,sex_stratified_population,std_pop
Female,(0-4),155768.0,3581836.0,4349.0
Female,(10-14),166367.0,3581836.0,4645.0
Female,(15-19),151806.0,3581836.0,4238.0
Female,(20-24),146424.0,3581836.0,4088.0
Female,(25-29),189909.0,3581836.0,5302.0
Female,(30-34),231707.0,3581836.0,6469.0
Female,(35-39),231040.0,3581836.0,6450.0
Female,(40-44),258606.0,3581836.0,7220.0
Female,(45-49),254785.0,3581836.0,7113.0
Female,(5-9),164973.0,3581836.0,4606.0
Female,(50-54),237633.0,3581836.0,6634.0
Female,(55-59),240710.0,3581836.0,6720.0
Female,(60-64),251894.0,3581836.0,7033.0
Female,(65-69),258560.0,3581836.0,7219.0
Female,(70-74),245516.0,3581836.0,6854.0
Female,(75-79),174602.0,3581836.0,4875.0
Female,(80-84),124200.0,3581836.0,3467.0
Female,(85-89),72225.0,3581836.0,2016.0
Female,(90+),25111.0,3581836.0,701.0
Male,(0-4),164739.0,3369646.0,4889.0
Male,(10-14),175851.0,3369646.0,5219.0
Male,(15-19),161171.0,3369646.0,4783.0
Male,(20-24),155212.0,3369646.0,4606.0
Male,(25-29),200705.0,3369646.0,5956.0
Male,(30-34),244745.0,3369646.0,7263.0
Male,(35-39),248896.0,3369646.0,7386.0
Male,(40-44),274231.0,3369646.0,8138.0
Male,(45-49),267728.0,3369646.0,7945.0
Male,(5-9),174560.0,3369646.0,5180.0
Male,(50-54),241947.0,3369646.0,7180.0
Male,(55-59),233065.0,3369646.0,6917.0
Male,(60-64),222922.0,3369646.0,6616.0
Male,(65-69),205259.0,3369646.0,6091.0
Male,(70-74),172572.0,3369646.0,5121.0
Male,(75-79),109274.0,3369646.0,3243.0
Male,(80-84),68355.0,3369646.0,2029.0
Male,(85-89),36923.0,3369646.0,1096.0
Male,(90+),11491.0,3369646.0,341.0
Total,(0-4),320507.0,6951482.0,4611.0
Total,(10-14),342218.0,6951482.0,4923.0
Total,(15-19),312977.0,6951482.0,4502.0
Total,(20-24),301636.0,6951482.0,4339.0
Total,(25-29),390614.0,6951482.0,5619.0
Total,(30-34),476452.0,6951482.0,6854.0
Total,(35-39),479936.0,6951482.0,6904.0
Total,(40-44),532837.0,6951482.0,7665.0
Total,(45-49),522513.0,6951482.0,7517.0
Total,(5-9),339533.0,6951482.0,4884.0
Total,(50-54),479580.0,6951482.0,6899.0
Total,(55-59),473775.0,6951482.0,6815.0
Total,(60-64),474816.0,6951482.0,6830.0
Total,(65-69),463819.0,6951482.0,6672.0
Total,(70-74),418088.0,6951482.0,6014.0
Total,(75-79),283876.0,6951482.0,4084.0
Total,(80-84),192555.0,6951482.0,2770.0
Total,(85-89),109148.0,6951482.0,1570.0
Total,(90+),36602.0,6951482.0,527.0
